mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
mul8_101,NO,NO,41.25,7066.4375,74.898438,0.001152,3158.22406,0.024602,0.007054,0.024602,0.007054,93.637599,0.087516,0.904175,352.0,2.0
mul8_102,NO,NO,100.9375,40039.261719,176.846863,0.00272,18952.827745,0.054096,0.023293,0.054096,0.023293,224.11524,0.161923,0.987671,961.0,3.0
mul8_103,NO,NO,13.367188,96321.755798,110.454987,0.001699,84300.133441,9765.641378,97560882248.50189,9765.641378,97560882248.50189,310.645196,312500.0,0.738556,2071.0,10000000.0
mul8_104,NO,NO,13.171875,2320.095459,36.681396,0.000564,1148.068902,0.013633,0.004051,0.013633,0.004051,49.935896,0.065094,0.928284,300.0,2.0
mul8_105,NO,NO,47.367188,642964.143494,580.441498,0.008926,308295.461573,0.08328,0.022251,0.08328,0.022251,803.248277,0.17084,0.991348,2887.0,3.0
mul8_106,NO,NO,194.085938,671870.840271,639.212769,0.00983,300947.227923,0.097613,0.025557,0.097613,0.025557,842.342087,0.187312,0.990753,3143.0,2.53125
mul8_107,NO,NO,61.8125,14900.621094,96.744751,0.001488,9361.859408,0.029076,0.010409,0.029076,0.010409,136.82619,0.106087,0.965942,618.0,1.939394
mul8_108,NO,NO,12.390625,1564.503662,29.06958,0.000447,872.990764,0.010942,0.003028,0.010942,0.003028,41.449141,0.056101,0.91272,268.0,1.5
mul8_109,NO,NO,1.8125,5756.714844,3.71875,5.7e-05,5746.170898,0.000675,0.000408,0.000675,0.000408,75.894664,0.020211,0.002991,3072.0,0.999024
mul8_110,NO,NO,182.6875,27864.996094,189.583588,0.002916,25297.782045,29144.3332,290593478936.064,29144.3332,290593478936.064,247.466601,539854.490667,0.981064,925.0,10000000.0
mul8_111,NO,NO,8.775391,368.109707,15.544556,0.000239,203.483977,0.006372,0.001632,0.006372,0.001632,21.097801,0.040903,0.883118,98.0,5.0
mul8_112,NO,NO,136.75,32621.4375,177.446899,0.002729,19834.597888,0.04857,0.018489,0.04857,0.018489,226.543594,0.144388,0.977783,1007.0,1.03125
mul8_113,NO,NO,56.023438,632937.835388,576.013855,0.008858,304284.499808,0.081279,0.021278,0.081279,0.021278,797.544018,0.166986,0.990723,2882.0,3.125
mul8_114,YES,NO,11.28125,157.920898,11.28125,0.000173,157.920898,0.004259,0.000693,0.004259,0.000693,16.887495,0.026674,0.679688,66.0,1.0
mul8_115,NO,NO,150.210938,657335.248474,624.46875,0.009604,289937.354492,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_116,NO,NO,1.691406,325.576645,13.514648,0.000208,145.791778,0.006376,0.001834,0.006376,0.001834,18.122845,0.043298,0.744507,72.0,2.0
mul8_117,NO,NO,47.585938,637567.367615,576.115295,0.00886,307922.955457,0.08129,0.020576,0.08129,0.020576,799.894861,0.164877,0.990555,2767.0,3.0
mul8_118,NO,NO,4.59375,29.709961,4.882813,7.5e-05,26.970642,0.002361,0.000417,0.002361,0.000417,7.128289,0.020547,0.573242,20.0,1.0
mul8_119,NO,NO,8.775391,388.765957,15.990967,0.000246,210.062418,0.006534,0.001649,0.006534,0.001649,21.581785,0.041131,0.888916,98.0,5.0
mul8_120,NO,NO,87.75,39547.382813,166.611298,0.002562,19488.120822,0.04648,0.016657,0.04648,0.016657,217.364775,0.137177,0.984787,1105.0,3.0
mul8_121,NO,NO,1.085938,177645.277771,314.094666,0.00483,78990.998119,0.063068,0.019887,0.063068,0.019887,421.481265,0.154482,0.965973,1636.0,2.242424
mul8_122,NO,NO,42.831055,644362.61257,579.884552,0.008918,309931.018166,0.083171,0.022304,0.083171,0.022304,803.863864,0.170942,0.991165,2887.0,3.0
mul8_123,NO,NO,10.262695,217.274741,10.608887,0.000163,210.049179,0.003646,0.000553,0.003646,0.000553,17.961004,0.023793,0.5896,80.0,1.0
mul8_124,NO,NO,118.953125,27950.099365,154.677032,0.002379,18174.960939,0.042845,0.016162,0.042845,0.016162,205.182712,0.134154,0.978729,1101.0,1.0625
mul8_125,NO,NO,3.515625,60.390381,4.085938,6.3e-05,56.055115,0.001604,0.000183,0.001604,0.000183,8.529361,0.013619,0.43457,36.0,1.0
mul8_126,NO,NO,79.882813,8529.259705,92.142395,0.001417,6420.302478,0.02754,0.008538,0.02754,0.008538,122.108654,0.096417,0.959534,529.0,1.0
mul8_127,NO,NO,2.796875,58.67749,4.109375,6.3e-05,49.613037,0.001595,0.000178,0.001595,0.000178,8.154753,0.013439,0.454102,40.0,1.0
mul8_128,NO,NO,36.773438,725139.722107,617.221558,0.009492,345529.556625,0.091058,0.026079,0.091058,0.026079,852.345005,0.185394,0.990829,3043.0,3.0
mul8_129,NO,NO,126.431641,28147.146694,159.609253,0.002455,18656.992825,0.043628,0.016329,0.043628,0.016329,210.07643,0.135027,0.978088,1021.0,1.0625
mul8_130,NO,NO,8.806641,379.193081,15.729614,0.000242,209.329235,0.006422,0.001639,0.006422,0.001639,21.37171,0.04099,0.878845,99.0,5.0
mul8_131,NO,NO,44.476563,642049.476013,579.062439,0.008905,308714.332405,0.082336,0.021273,0.082336,0.021273,802.513327,0.167487,0.98967,2884.0,3.03125
mul8_132,NO,NO,0.0,1.5,0.75,1.2e-05,0.9375,0.000314,3.5e-05,0.000314,3.5e-05,1.224745,0.005915,0.375,2.0,1.0
mul8_133,NO,NO,71.330078,40961.992611,146.769135,0.002257,24508.793808,99639.929009,3321065536890.982,99639.929009,3321065536890.982,214.592574,1825100.997847,0.976563,985.0,70000000.0
mul8_134,NO,NO,68.25,7685.1875,82.325073,0.001266,5565.832316,0.025266,0.00801,0.025266,0.00801,111.10018,0.092999,0.939453,545.0,1.0
mul8_135,NO,NO,118.375,21006.484375,145.595123,0.002239,13821.185074,48675.577035,777354809294.0571,48675.577035,777354809294.0571,187.133976,883019.887145,0.97818,673.0,30000000.0
mul8_136,NO,NO,39.546875,20078.044678,78.816406,0.001212,15429.974106,0.014879,0.007916,0.014879,0.007916,147.112202,0.09021,0.308762,640.0,3.938462
mul8_137,NO,NO,75.5,6683.375,80.601563,0.00124,5887.013123,0.022021,0.005567,0.022021,0.005567,111.281737,0.077797,0.949829,534.0,1.25
mul8_138,NO,NO,56.273438,638945.210388,580.742004,0.008931,304850.634489,0.083904,0.022435,0.083904,0.022435,801.318857,0.171683,0.990662,2886.0,3.0
mul8_139,NO,NO,60.140625,2618.323975,61.645264,0.000948,2435.080217,0.021266,0.005702,0.021266,0.005702,78.963401,0.078448,0.929199,332.0,1.0
mul8_140,NO,NO,151.8125,22991.808594,164.132538,0.002524,19099.353772,0.042811,0.013872,0.042811,0.013872,214.566642,0.125317,0.976074,860.0,1.0
mul8_141,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_142,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_143,NO,NO,70.162659,5505.241486,75.714478,0.001164,4695.358052,0.023037,0.007074,0.023037,0.007074,102.117776,0.087204,0.956512,389.0,3.0625
mul8_144,NO,NO,76.671875,7836.548584,87.839539,0.001351,5999.340463,0.028424,0.01028,0.028424,0.01028,117.111592,0.105298,0.95874,545.0,3.0
mul8_145,NO,NO,39.140625,3437.792725,47.625732,0.000732,2701.570861,0.014945,0.004314,0.014945,0.004314,70.496675,0.067361,0.912964,269.0,1.5
mul8_146,NO,NO,115.46875,35788.780273,173.741852,0.002672,18935.581431,0.052535,0.02292,0.052535,0.02292,221.634412,0.160248,0.985443,946.0,3.0
mul8_147,NO,NO,56.148438,632889.841248,576.026978,0.008859,304235.409429,0.081283,0.021278,0.081283,0.021278,797.52272,0.166989,0.990646,2882.0,3.125
mul8_148,NO,NO,72.78125,17959.850586,107.156525,0.001648,11774.440161,9765.654505,97560881992.11226,9765.654505,97560881992.11226,152.502331,312500.0,0.968994,974.0,10000000.0
mul8_149,NO,NO,110.625,52499.421875,185.761108,0.002857,30230.123107,0.049802,0.018313,0.049802,0.018313,254.435282,0.144199,0.985046,1328.0,1.0
mul8_150,NO,NO,84.242188,6984.621033,88.170044,0.001356,6307.410538,0.024168,0.006152,0.024168,0.006152,118.664937,0.082073,0.955994,529.0,1.0
mul8_151,NO,NO,166.076172,637602.976619,618.043549,0.009505,283206.443538,0.098208,0.030805,0.098208,0.030805,815.588298,0.201122,0.99057,2811.0,6.0625
mul8_152,NO,NO,46.25,19060.9375,80.428833,0.001237,14731.202821,0.017499,0.004663,0.017499,0.004663,145.602198,0.070495,0.734741,530.0,2.0
mul8_153,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_154,NO,NO,5.257813,76.324158,5.367676,8.3e-05,75.156807,0.002062,0.000239,0.002062,0.000239,10.196507,0.015588,0.549194,46.0,1.0
mul8_155,NO,NO,93.082031,40018.235458,170.515045,0.002622,19607.119372,0.049118,0.01814,0.049118,0.01814,220.641111,0.143362,0.984482,1092.0,2.0
mul8_156,NO,NO,15.054688,424.434509,18.987061,0.000292,290.569657,0.007704,0.001949,0.007704,0.001949,25.516233,0.044812,0.882324,103.0,5.0
mul8_157,NO,NO,2.882813,60.439392,4.195313,6.5e-05,51.149353,0.001597,0.000178,0.001597,0.000178,8.291562,0.013439,0.45752,40.0,1.0
mul8_158,NO,NO,110.125,42997.546875,178.966309,0.002752,23096.122888,0.0491,0.017898,0.0491,0.017898,234.787271,0.14251,0.984467,1210.0,2.0
mul8_159,NO,NO,3.25,25.4375,3.75,5.8e-05,21.9375,0.001681,0.000239,0.001681,0.000239,6.0,0.01556,0.421875,16.0,1.0
mul8_160,NO,NO,44.125,5311.484375,58.756714,0.000904,3806.148576,0.017934,0.005955,0.017934,0.005955,85.196831,0.079225,0.935059,452.0,7.0
mul8_161,NO,NO,47.726563,642957.827576,580.506592,0.008927,308247.749224,0.083236,0.022167,0.083236,0.022167,803.265618,0.170572,0.99054,2886.0,3.0
mul8_162,NO,NO,36.960938,725228.342224,617.339264,0.009494,345486.686353,0.091385,0.026534,0.091385,0.026534,852.405099,0.186777,0.990936,3043.0,3.0
mul8_163,NO,NO,240.927734,55317.53091,259.086487,0.003984,46237.896451,0.054816,0.019925,0.054816,0.019925,336.695269,0.151426,0.982788,1574.0,4.333333
mul8_164,NO,NO,40.8125,642256.527344,577.572601,0.008882,310332.077706,0.081692,0.020933,0.081692,0.020933,802.447623,0.166154,0.989731,2896.0,3.03125
mul8_165,YES,NO,4.46875,68.905273,4.46875,6.9e-05,68.905273,0.001601,0.000177,0.001601,0.000177,9.427354,0.013399,0.397461,40.0,1.0
