mul_name,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
ReFAM_sta2_j4_k4_const0,0.10000000149011612,vgg16,cifar,vgg16cifar,2,YES,NO,278.5,19115.75,278.5,0.004283,19115.75,0.071284,0.024563,0.071284,0.024563,310.93086,0.172175,0.979431,688.0,1.0
ReFAM_new1_sta1_j3_k1,0.11460000276565552,resnet34,mnist,resnet34mnist,2,NO,YES,9.75,114.9375,10.5,0.000161,99.75,10000.0,20000.0,10000.0,20000.0,14.491377,10000.0,0.601563,24.0,240000000.0
ReFAM_new2_sta4_j7_k2,0.10000000149011612,vgg16,cifar,vgg16cifar,2,NO,NO,1000.0,84058.0,1092.0,0.227566,89872.0,1.106934,0.569503,1.106934,0.569503,3000.0,1.339704,0.992203,5000.0,2.0
mul8_043,0.11349999904632568,resnet34,mnist,resnet34mnist,2,NO,NO,95.25,38557.625,167.913055,0.002582,19435.39332,0.047037,0.016889,0.047037,0.016889,218.243413,0.138209,0.982803,1094.0,2.0
ReFAM_sta1_j3_k2_const0,0.12080000340938568,resnet18,mnist,resnet18mnist,2,YES,NO,21.0,321.0,21.0,0.000323,321.0,0.008164,0.001717,0.008164,0.001717,27.604347,0.042234,0.804688,84.0,1.0
ReFAM_new1_sta2_j6_k3,0.09799999743700027,vgg16,mnist,vgg16mnist,2,NO,YES,173.75,84058.0,253.816406,0.003903,68873.231918,10000.0,20000.0,10000.0,20000.0,365.097247,10000.0,0.722473,960.0,9600000000.0
mul8_350,0.10100000351667404,vgg16,mnist,vgg16mnist,2,NO,NO,150.210938,84058.0,624.46875,0.009604,89872.0,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_190,0.009600000455975533,resnet34,cifar100,resnet34cifar100,2,NO,NO,126.980469,17792.140244,134.176086,0.002063,15912.957519,0.033339,0.010236,0.033339,0.010236,184.163459,0.106525,0.966919,776.0,1.0
mul8_462,0.11349999904632568,resnet18,mnist,resnet18mnist,2,NO,NO,99.71875,10635.108398,107.097137,0.001647,9109.14065,0.027224,0.006338,0.027224,0.006338,143.453607,0.084139,0.949387,680.0,1.0
ReFAM_sta2_j2_k4_const0,0.1039000004529953,vgg16,cifar,vgg16cifar,2,YES,NO,49.0,796.5,49.0,0.000754,796.5,0.019111,0.005674,0.019111,0.005674,56.546441,0.077713,0.936523,118.0,1.0
mul8_045,0.11349999904632568,resnet18,mnist,resnet18mnist,2,NO,NO,87.125,36346.171875,161.366028,0.002482,17897.942562,0.046428,0.0168,0.046428,0.0168,209.611396,0.137678,0.982803,1033.0,2.0
ReFAM_sta3_j6_k4_const0,0.10000000149011612,vgg16,cifar,vgg16cifar,2,YES,NO,1000.0,84058.0,1072.3125,0.016491,89872.0,0.202148,0.074906,0.202148,0.074906,1183.073962,0.34025,0.988037,2912.0,1.0
ReFAM_new2_sta1_j5_k3,0.017100000753998756,resnet34,cifar100,resnet34cifar100,2,NO,NO,45.0,21495.0,88.25,0.001357,15731.9375,0.019654,0.014005,0.019654,0.014005,153.362316,0.119965,0.488281,480.0,2.0
mul8_187,0.1005999967455864,resnet34,cifar,resnet34cifar,2,NO,NO,224.1875,43645.621094,237.144348,0.003647,37668.214393,0.054627,0.019784,0.054627,0.019784,306.440298,0.15089,0.977264,1413.0,1.03125
ReFAM_new_sta1_j1_k6,0.015799999237060547,resnet34,cifar100,resnet34cifar100,2,NO,NO,13.4375,1170.433594,17.121094,0.000263,1057.868149,0.003444,0.000257,0.003444,0.000257,36.755952,0.016404,0.368164,186.0,0.421769
ReFAM_sta1_j4_k3_const1,0.1071000024676323,resnet18,mnist,resnet18mnist,2,NO,YES,30.0,5572.0,67.375,0.001036,1932.609375,10000.0,20000.0,10000.0,20000.0,80.448741,10000.0,0.947266,240.0,1200000000.0
ReFAM_new1_sta2_j3_k1,0.6407999992370605,vgg16,cifar,vgg16cifar,2,YES,YES,11.25,85.4375,11.25,0.000173,85.4375,10000.0,20000.0,10000.0,20000.0,14.56022,10000.0,0.71875,24.0,240000000.0
ReFAM_new2_sta4_j3_k5,0.008999999612569809,resnet34,cifar100,resnet34cifar100,2,NO,NO,1000.0,84058.0,1092.0,0.227566,89872.0,1.106934,0.569503,1.106934,0.569503,3000.0,1.339704,0.992203,5000.0,2.0
ReFAM_new1_sta3_j2_k7,0.09799999743700027,vgg16,mnist,vgg16mnist,2,NO,YES,223.65625,84058.0,265.870117,0.004089,65012.330787,10000.0,20000.0,10000.0,20000.0,368.373791,10000.0,0.98439,1020.0,10200000000.0
mul8_009,0.10010000318288803,resnet34,cifar,resnet34cifar,2,NO,NO,146.139648,20397.808623,154.742126,0.00238,17809.479766,0.041017,0.014979,0.041017,0.014979,204.339437,0.129078,0.974319,754.0,7.999999
