mul_name,retrained_acc,net,dataset,concat
ReFAM_sta4_j5_k1_const1,0.7457000017166138,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j8_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k6_const1,0.39959999918937683,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k3_const1,0.2687999904155731,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k3_const0,0.2556999921798706,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k2_const0,0.25589999556541443,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k3_const0,0.7458999752998352,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j7_k1_const0,0.742900013923645,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k2_const0,0.2624000012874603,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k5_const1,0.11420000344514847,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j7_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k4_const0,0.7387999892234802,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k3_const1,0.1867000013589859,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k3_const0,0.16369999945163727,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k1_const1,0.7609000205993652,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k2_const1,0.7537000179290771,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k2_const0,0.7588000297546387,vgg16,cifar10,vgg16cifar10
