,Unnamed: 0,mul_name,retrained_acc,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
4406,4406,ReFAM_new_sta1_j2_k7,-1.0,0.0103000001981854,resnet34,cifar100,resnet34cifar100,2,NO,NO,0.3843388419693731,0.2547790435635492,0.2731750743556583,0.2732725527831094,0.2948943713694238,0.0073391909544742,0.0013432765060061,0.0073391909544742,0.0013432765060061,0.4111961840497559,0.021522664708025,0.4459354618002032,0.5652818991097923,0.0609844285714285
4407,4407,mul8_417,0.9943000078201294,0.9031000137329102,vgg16,mnist,vgg16mnist,2,NO,NO,0.821648849024153,0.2887851494535449,0.4827002196405796,0.482725527831094,0.3285831913820036,0.0280495494763012,0.0167426686075402,0.0280495494763012,0.0167426686075402,0.5186969699616754,0.0764833127317676,0.9900415199688856,0.6580118694362018,0.3125
4408,4408,ReFAM_new1_sta3_j4_k2,-1.0,0.1000000014901161,resnet18,cifar,resnet18cifar,2,NO,YES,0.2799130686721702,0.0162262677374977,0.1507073414362652,0.1506717850287907,0.0207132084022708,1.0,1.0,1.0,1.0,0.1458735408852544,1.0,0.7949292287141434,0.0830860534124629,1.0
4409,4409,ReFAM_sta3_j1_k6_const1,-1.0,0.5569999814033508,vgg16,mnist,vgg16mnist,2,NO,YES,0.1299905891666425,0.0415788283698061,0.1815738063576364,0.1816218809980806,0.0200165783564784,1.0,1.0,1.0,1.0,0.1627711459058265,1.0,1.0,0.1320474777448071,1.0
4410,4410,ReFAM_sta2_j1_k1_const0,-1.0,0.9225000143051147,resnet18,cifar,resnet18cifar,0,YES,NO,0.0069328314222209,1.592234988408529e-05,0.003689850746718,0.003598848368522,2.095141618223904e-05,0.0005989516990172,0.0001931508701446,0.0005989516990172,0.0001931508701446,0.0040604061864142,0.007856213014218,0.5090726935443474,0.0022255192878338,0.1428571428571428
4411,4411,mul8_261,-1.0,0.1111999973654747,resnet34,mnist,resnet34mnist,2,NO,NO,1.0,1.0,1.0,1.0,1.0,0.0903179412684044,0.0587301559429888,0.0903179412684044,0.0587301559429888,1.0,0.1555769035548151,1.0,1.0,1.0
4412,4412,ReFAM_new_sta2_j7_k2,-1.0,0.1020999997854232,resnet34,cifar,resnet34cifar,2,NO,NO,0.5216955645221254,0.3522461658981479,0.4620240856335838,0.4620921305182341,0.2956201731279181,0.01401890266267,0.0015083327041297,0.01401890266267,0.0015083327041297,0.4940883883132317,0.0247599469733612,0.6462840747807425,0.4747774480712166,0.0444444285714285
4413,4413,mul8_468,-1.0,0.9307000041007996,vgg16,mnist,vgg16mnist,1,NO,NO,0.4575668738665817,0.0703242427330395,0.2590408538503548,0.2591170825335893,0.0829395781373409,0.0176550724794793,0.0099103955554228,0.0176550724794793,0.0099103955554228,0.2690221252588803,0.0579426500182129,0.9599797592697048,0.3590504451038576,1.0
4414,4414,mul8_092,-1.0,0.1671999990940094,resnet18,cifar,resnet18cifar,2,NO,NO,0.1123335341381736,0.0123355140371436,0.0866466323514483,0.0866122840690978,0.0113896757083869,0.0076445388794634,0.0034345736545724,0.0076445388794634,0.0034345736545724,0.0949727436978577,0.0336133951977451,0.9219489746257808,0.1676557863501483,0.1428571428571428
4415,4415,mul8_309,-1.0,0.1134999990463256,resnet18,mnist,resnet18mnist,2,NO,NO,0.5263738738299972,0.1881075646574784,0.3940497769426186,0.3939539347408829,0.1529860646161159,0.029556414384236,0.0200350129850062,0.029556414384236,0.0200350129850062,0.387878243111726,0.083389315848874,0.9824288469096232,0.5445103857566765,0.1428571428571428
4416,4416,ReFAM_new1_sta1_j2_k7,0.1134999990463256,0.0979999974370002,vgg16,mnist,vgg16mnist,2,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9415859447065604,0.7566765578635015,1.0
4417,4417,mul8_409,-1.0,0.1011999994516372,resnet18,cifar,resnet18cifar,2,NO,NO,1.0,1.0,1.0,1.0,1.0,0.0903179412684044,0.0587301559429888,0.0903179412684044,0.0587301559429888,1.0,0.1555769035548151,1.0,1.0,1.0
4418,4418,mul8_122,-1.0,0.100100003182888,resnet34,mnist,resnet34mnist,2,NO,NO,0.2969404839508731,1.0,1.0,1.0,1.0,0.0751363676605831,0.0391639727973338,0.0751363676605831,0.0391639727973338,1.0,0.12759684228755,1.0,1.0,0.4285714285714285
4419,4419,mul8_285,-1.0,0.1242000013589859,resnet34,cifar,resnet34cifar,2,NO,NO,0.4315687560332532,0.1572359915165719,0.3197893905514848,0.3198176583493282,0.1459527747872971,0.0216553109760834,0.0138770120613938,0.0216553109760834,0.0138770120613938,0.3447392046989055,0.0687286146790634,0.9726882499913456,0.4473293768545994,0.3452381428571428
4420,4420,ReFAM_new1_sta4_j2_k4,-1.0,0.1032000035047531,resnet18,mnist,resnet18mnist,2,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4421,4421,ReFAM_new2_sta3_j4_k2,-1.0,0.9677000045776368,vgg16,mnist,vgg16mnist,0,NO,NO,0.2591145744055074,0.0192738055053116,0.1396377891961111,0.1396353166986564,0.0247704501459614,0.0196651290862869,0.0269621055551946,0.0196651290862869,0.0269621055551946,0.1460241602992707,0.0939117894699127,0.6726326592532108,0.0830860534124629,0.2857142857142857
4422,4422,ReFAM_new2_sta2_j3_k2,0.7721999883651733,0.6883999705314636,vgg16,cifar,vgg16cifar,1,YES,NO,0.1213245498888663,0.0037927037423891,0.0645723880675658,0.0645393474088291,0.0049906273346093,0.0087277109565701,0.0087989000935903,0.0087277109565701,0.0087989000935903,0.0665268075095068,0.0533274514370338,0.7119065994147701,0.0415430267062314,0.2857142857142857
4423,4423,ReFAM_new_sta1_j3_k5,-1.0,0.1146000027656555,resnet34,mnist,resnet34mnist,2,NO,NO,0.1893529582194093,0.0602282289761292,0.1278187360230298,0.1278790786948176,0.071641726720251,0.004902731328155,0.000830548741622,0.004902731328155,0.000830548741622,0.2002813623276688,0.0167275756435749,0.3957246038905371,0.2789317507418398,0.060421
4424,4424,mul8_084,-1.0,0.1092000007629394,resnet18,cifar,resnet18cifar,2,NO,NO,0.3996330493925207,0.1753693076834891,0.3545042554163098,0.3546065259117082,0.1317394958612436,0.0266944551346331,0.016791834283577,0.0266944551346331,0.016791834283577,0.3538778228488579,0.0762541576348208,0.989932578412467,0.5682492581602374,0.2857142857142857
4425,4425,ReFAM_sta3_j6_k2_const0,-1.0,0.1004000008106231,resnet34,cifar,resnet34cifar,2,YES,NO,1.0,0.1712990089929432,0.8339062687582788,0.8339731285988484,0.2254037158550004,0.0578426536722153,0.0394238485135284,0.0578426536722153,0.0394238485135284,0.6876047430839026,0.1216276132638254,0.9855209544502116,0.4747774480712166,0.1428571428571428
4426,4426,ReFAM_sta4_j1_k3_const1,-1.0,0.9854999780654908,vgg16,mnist,vgg16mnist,0,NO,YES,0.0571958592333227,0.000308097470257,0.0306718843320937,0.0307101727447216,0.0003880595157906,1.0,1.0,1.0,1.0,0.0259992843019778,1.0,0.986328343742173,0.0111275964391691,1.0
4427,4427,ReFAM_sta4_j2_k6_const0,-1.0,0.100100003182888,resnet34,cifar,resnet34cifar,2,YES,NO,1.0,0.1008617175757266,0.6475688060490173,0.647552783109405,0.1327188409480114,0.0554287789515906,0.0473008921814283,0.0554287789515906,0.0473008921814283,0.5326445464201321,0.1307908314075347,0.998197882664853,0.3798219584569733,0.1428571428571428
4428,4428,ReFAM_sta4_j7_k3_const0,-1.0,0.1000000014901161,resnet18,cifar,resnet18cifar,2,YES,NO,1.0,1.0,1.0,1.0,1.0,0.1493684356971598,0.1106455980038735,0.1493684356971598,0.1106455980038735,1.0,0.224365232917122,1.0,1.0,0.1428571428571428
4429,4429,ReFAM_new_sta1_j3_k4,0.7545999884605408,0.6764000058174133,vgg16,cifar,vgg16cifar,1,NO,NO,0.0922933183083162,0.0148654541563702,0.0628715993339258,0.0628598848368522,0.0176648990838636,0.0030688369857642,0.0004407351673301,0.0030688369857642,0.0004407351673301,0.0992471955498576,0.0120952090909633,0.3668907265281853,0.1364985163204747,0.0596048571428571
