mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE,untrained
ReFAM_sta3_j2_k3_const0,YES,NO,0.11848631765028578,0.0016301617242492868,0.05610039554309633,0.05615020178978769,0.0020936372700412907,0.008443141144819834,0.0045249981123892235,0.008443141144819834,0.0045249981123892235,0.05342663469836145,0.03853164579638487,0.9049846192575023,0.04160977829790001,0.125,0.354200005531311
ReFAM_sta2_j1_k9_const0,YES,NO,1.0,1.0,1.0,1.0,1.0,0.176463095360699,0.12252613243477206,0.176463095360699,0.12252613243477206,1.0,0.2452280503753068,1.0,1.0,0.125,0.1000000014901161
ReFAM_sta1_j1_k5_const0,YES,NO,0.2774679590544667,0.01424765064580477,0.13137434399332684,0.13132497852808897,0.01829843748559463,0.014228490587514702,0.007431040749565849,0.014228490587514702,0.007431040749565849,0.1356816057455052,0.049958796868562014,0.8671944399382183,0.12027826539236722,0.125,0.1169999986886978
mul8_317,NO,NO,0.11855662353162977,0.010731036241746254,0.07474134975836567,0.07480536751600005,0.009939170980310894,0.008541611333647715,0.004240539558176165,0.008541611333647715,0.004240539558176165,0.08707756404240666,0.03735153436878594,0.9639698456589565,0.12808009882322346,0.375,0.5892000198364258
mul8_113,NO,NO,0.3361018162394476,1.0,1.0,1.0,1.0,0.07342714199762587,0.03736240195398444,0.07342714199762587,0.03736240195398444,1.0,0.12464395120116085,1.0,1.0,0.390625,0.1000000014901161
ReFAM_new_sta1_j1_k1,YES,NO,0.00074991340284991,2.3234916252127805e-06,0.00035506579457655907,0.0003694092223012348,2.9840896095229343e-06,4.788000007227169e-05,3.5118340026303635e-06,4.788000007227169e-05,3.5118340026303635e-06,0.0011344282745267983,0.0009210989890304128,0.0636472609732206,0.0013003055718093753,0.02777775,0.7231000065803528
ReFAM_sta4_j1_k1_const0,YES,NO,0.00599930722279928,1.2391955334468162e-05,0.0028405263566124725,0.002770569167259261,1.5915144584122316e-05,0.0005989516990172855,0.00019315087014467003,0.0005989516990172855,0.00019315087014467003,0.0034032848235803948,0.007856213014218065,0.5091780877857648,0.001950458357714063,0.125,0.7075999975204468
ReFAM_new2_sta4_j4_k5,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1000000014901161
ReFAM_sta2_j7_k1_const1,NO,YES,0.2399722889119712,0.16147213479025394,0.2986990996875303,0.29866735623054835,0.08696242643746005,1.0,1.0,1.0,1.0,0.30345055153770567,1.0,0.8142378820961477,0.24965866978740006,1.0,0.1000000014901161
ReFAM_new_sta1_j1_k2,NO,NO,0.001874783507124775,2.3815791636822065e-05,0.0017753289728827952,0.001847046111506174,2.685680648570641e-05,0.0002104913210724397,1.4047336010521454e-05,0.0002104913210724397,1.4047336010521454e-05,0.0035873775751140546,0.0021019568501698884,0.17502996767635665,0.003900916715428126,0.03571425,0.720300018787384
mul8_001,NO,NO,1.0,0.5803068650209112,0.6815999363667559,0.6815600151457782,0.6535420333379828,0.048425651393850036,0.03330798959794769,0.048425651393850036,0.03330798959794769,0.7487530615965876,0.11031765225751361,0.9997090556406393,1.0,0.125,0.1000000014901161
ReFAM_sta2_j2_k4_const1,NO,YES,0.07799099389639064,0.007896153939123114,0.07265533821522839,0.07258891218219264,0.003962992223919725,1.0,1.0,1.0,1.0,0.07049903604504168,1.0,0.9944889618846595,0.04030947272609063,1.0,0.3919999897480011
ReFAM_sta2_j2_k8_const0,YES,NO,1.0,1.0,1.0,1.0,1.0,0.17630319422838217,0.12217846086851168,0.17630319422838217,0.12217846086851168,1.0,0.24492425192430564,1.0,1.0,0.125,0.1000000014901161
mul8_255,NO,NO,0.6650560158585017,0.176064539408238,0.36310938691426387,0.3631292655221138,0.17453118262940473,0.030305329857064647,0.020071887242033844,0.030305329857064647,0.020071887242033844,0.3932976180152801,0.08364235681911826,0.9846679349274478,0.5045185618620376,0.316346125,0.1000000014901161
ReFAM_sta3_j3_k7_const1,NO,YES,0.42782559632587364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1000000014901161
mul8_341,NO,NO,1.0,1.0,1.0,1.0,1.0,0.083453033333514,0.05798037938342731,0.083453033333514,0.05798037938342731,1.0,0.1521574915055863,1.0,1.0,0.875,0.1000000014901161
mul8_395,NO,NO,0.17683895730919802,1.0,1.0,1.0,1.0,0.078394917854181,0.04366614398870595,0.078394917854181,0.04366614398870595,1.0,0.13435430513008842,1.0,1.0,0.375,0.1000000014901161
ReFAM_sta3_j1_k7_const0,YES,NO,1.0,0.14508749144702013,0.6987694837266681,0.6987375439827856,0.1863376958198209,0.066445695949352,0.053483475943059126,0.066445695949352,0.053483475943059126,0.6219781698743092,0.14136854111057368,0.998466661106442,0.4479552694883298,0.125,0.1000000014901161
mul8_173,NO,NO,0.8601741063628591,0.30650429794114725,0.45261691468221205,0.4525262973190126,0.33211862330143294,0.03490361665645828,0.021383557242016283,0.03490361665645828,0.021383557242016283,0.5147614001632927,0.08727524886094241,0.9889562327827796,0.6696573694818283,0.171875,0.1000000014901161
mul8_026,NO,NO,0.05148624056458733,1.0,0.5290768141321182,0.5289940063353682,1.0,0.033749979673584875,0.03855115776387481,0.033749979673584875,0.03855115776387481,0.800568853522252,0.11406101646333817,0.949627317282207,1.0,0.97727275,0.1018999963998794
ReFAM_new_sta3_j4_k2,NO,NO,0.013873397952723335,0.0018305628794022802,0.020238750290863864,0.020317507226567916,0.0017727481673639246,0.0019106830217519744,0.00033538014725119976,0.0019106830217519744,0.00033538014725119976,0.03127402984612568,0.010435887330335656,0.3247008298686311,0.031207333723425008,0.0555555,0.7056000232696533
ReFAM_new_sta1_j2_k3,NO,NO,0.017622964966972885,0.0006678876701458048,0.01114018930483954,0.011082276669037045,0.0007718067954958992,0.0010244513223010585,0.00010535502007891092,0.0010244513223010585,0.00010535502007891092,0.019779433085626345,0.0058654747615891276,0.2983467904010154,0.02730641700799688,0.05,0.7091000080108643
mul8_201,NO,NO,1.0,1.0,0.9370370100930665,0.9370064923670821,1.0,0.060498638581884735,0.04153797258311194,0.060498638581884735,0.04153797258311194,1.0,0.12521646572675757,1.0,1.0,0.875,0.1000000014901161
ReFAM_new1_sta2_j5_k3,NO,YES,0.5279390356063366,0.25458033039131395,0.36505202004902476,0.36497631163362,0.21527122662781176,1.0,1.0,1.0,1.0,0.4147976135074592,1.0,0.7561844515953415,0.31207333723425007,1.0,0.1000000014901161
ReFAM_new_sta3_j1_k4,NO,NO,0.0024372185592622074,0.0003379034514312714,0.007056932667209111,0.007018775223723461,0.0003574908285846247,0.0007651766049285684,0.00012115827309074755,0.0007651766049285684,0.00012115827309074755,0.013278142624853816,0.006243170133104029,0.21083129738474932,0.013003055718093752,0.0555555,0.72079998254776
mul8_472,NO,NO,0.39161884134435326,0.18832282257180977,0.30549302801938066,0.3055014268431212,0.14885156618107448,0.02997468683769764,0.023260632516422214,0.02997468683769764,0.023260632516422214,0.3460107496374519,0.08940930235335566,0.9871537423520178,0.5207723815096548,0.265625,0.53329998254776
ReFAM_new_sta2_j3_k5,NO,NO,0.2467215095376204,0.06773675134982819,0.17912514581589958,0.1791634728160989,0.05789760807499873,0.008627433975286692,0.0008112336546076141,0.008627433975286692,0.0008112336546076141,0.20947334027706987,0.017562088341902392,0.653487304713655,0.20284766920226255,0.040322625,0.1057000011205673
ReFAM_new1_sta4_j6_k3,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1000000014901161
mul8_009,NO,NO,0.8767366457837443,0.20221498670179644,0.43954908738124815,0.43959697453846946,0.2267523563551127,0.037054603074799394,0.026301880762700108,0.037054603074799394,0.026301880762700108,0.4636168698673748,0.09634814854624603,0.9922037706266771,0.49021520057213447,0.999999875,0.1000000014901161
ReFAM_new1_sta3_j2_k3,NO,YES,0.1574818145984811,0.003518695717222235,0.07487449943133188,0.07480536751600005,0.00444584280129455,1.0,1.0,1.0,1.0,0.07330899899904872,1.0,0.9666430306198317,0.03900916715428126,1.0,0.3576000034809112
ReFAM_new2_sta1_j4_k4,NO,NO,0.2789677858601665,0.22021743824883372,0.25795529975987014,0.2580323417774125,0.20535743750204707,0.01894692908520291,0.027153500508337973,0.01894692908520291,0.027153500508337973,0.3542323801568354,0.09413198736437302,0.5429905678832663,0.32247578180872505,0.25,0.703000009059906
ReFAM_sta1_j1_k6_const0,YES,NO,0.5654347057488321,0.05810525896555449,0.2677196091107255,0.26763698155724464,0.07462531719772034,0.023957164564463642,0.014222927710652972,0.023957164564463642,0.014222927710652972,0.2754979552462968,0.0700333805079331,0.8791275376035655,0.24510760028606723,0.125,0.100100003182888
mul8_406,NO,NO,0.4792415370084242,0.08455536424035127,0.2617329015588973,0.2617264340004249,0.08174403376893502,0.024879532113025706,0.014992019357229023,0.024879532113025706,0.014992019357229023,0.27704701932401965,0.07196888267856183,0.977147374570852,0.34393082374357975,0.125,0.101000003516674
mul8_076,NO,NO,0.0899896083419892,0.0147513836301509,0.08622550976183285,0.08625705340733833,0.01007804907837508,0.009887671713037994,0.006718138447031886,0.009887671713037994,0.006718138447031886,0.09390435147027608,0.04689020858338857,0.8652045719711515,0.08582016773941877,0.999999875,0.4255000054836273
